,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
1819,Li2SiO3,Li2SiO3_Va_O2,5.1448,-2.882895587777778,1.367848009345796,1.9439154367443665,2.842438281759154,2,95,-2.356834901289411,9.476929138048687
1820,Li2SnO3,Li2SnO3_Va_O1,3.2893,-2.2246867915277777,1.3884706258381867,1.800804626980335,1.01217908000189,2,95,-1.538575818365933,10.357427573809243
1821,Li2SnO3,Li2SnO3_Va_O2,3.2893,-2.2246867915277777,1.421818636299479,1.7373979170556284,0.8596810617546049,2,79,-1.538575818365933,10.624018024669617
1822,Li2SnO3,Li2SnO3_Va_O3,3.2893,-2.2246867915277777,1.415499632138764,1.7283811814133587,0.906803238153447,2,91,-1.538575818365933,10.64975408184246
1823,Li3AsO4,Li3AsO4_Va_O1,4.2397,-2.270408983125,1.5169493855184373,1.9209146331378673,1.8566778643698556,2,79,-0.6589084382122885,7.301835889656674
1824,Li3AsO4,Li3AsO4_Va_O2,4.2397,-2.270408983125,1.4626668024848646,1.9366917382193185,1.6939131029011718,2,111,-0.6589084382122885,7.403563343926904
1825,Li3AsO4,Li3AsO4_Va_O3,4.2397,-2.270408983125,1.471247625471115,1.951400765075329,2.4362732184772313,2,127,-0.6589084382122885,7.425939158025791
1826,Li3BO3,Li3BO3_Va_O1,5.2981,-2.5554420863095233,1.309903996244476,2.4966280991303913,2.7126472848666383,2,59,-2.1905056483979153,9.993740216705024
1827,Li3BO3,Li3BO3_Va_O2,5.2981,-2.5554420863095233,1.2733264597235097,2.570793878591606,2.496783921988745,2,71,-2.1905056483979153,10.421417767777438
1830,Li3SbO4,Li3SbO4_Va_O1,3.2216999999999993,-2.2137175437499996,1.6490904880882649,2.4738478379801805,0.1739739280794863,2,431,-0.5208045461292565,10.289562830103545
1831,Li3SbO4,Li3SbO4_Va_O2,3.2216999999999993,-2.2137175437499996,1.249083567388437,1.5750525954426997,1.648734639787071,2,404,-0.5208045461292565,9.79741741053432
1832,Li4Ca(BO3)2,Li4Ca(BO3)2_Va_O1,4.785500000000001,-2.778116286666667,1.340732269050028,2.4144545403935864,2.284837357469431,2,53,-2.1905056483979153,9.877975173615646
1833,Li4Ca(BO3)2,Li4Ca(BO3)2_Va_O2,4.785500000000001,-2.778116286666667,1.3057261438173848,2.4188471647073015,2.3239600979535826,2,65,-2.1905056483979153,9.905193166779307
1834,Li4Ca(BO3)2,Li4Ca(BO3)2_Va_O3,4.785500000000001,-2.778116286666667,1.4787474353863248,2.4910067969527896,2.1665968232783475,2,77,-2.1905056483979153,10.156488670299426
1835,Li4GeO4,Li4GeO4_Va_O1,4.0272,-2.2978871192592587,1.3868120812400504,1.7684252098683788,2.92780901543601,2,431,-1.502819088333178,9.400472756643016
1836,Li4GeO4,Li4GeO4_Va_O2,4.0272,-2.2978871192592587,1.3543613916205228,1.7241108942456838,2.2439525617398486,2,383,-1.502819088333178,9.69420033142694
1837,Li4PbO4,Li4PbO4_Va_O1,1.3723,-1.919143204259259,1.3569145958822,1.4253715182763198,1.783163179577531,2,287,-0.2712847561180753,7.20103904988142
1838,Li4PbO4,Li4PbO4_Va_O2,1.3723,-1.919143204259259,1.3792494173530598,1.3452002584233933,1.1891615749453397,2,255,-0.2712847561180753,7.439622618208464
1842,Li5SbO5,Li5SbO5_Va_O1,3.0783000000000005,-2.198206253787879,1.2491845381245323,1.9795843312888224,1.816595168966224,2,131,-0.5208045461292565,9.499311758537836
1843,Li5SbO5,Li5SbO5_Va_O2,3.0783000000000005,-2.198206253787879,1.6322392020531835,2.5550155181691467,0.6411534274606316,2,95,-0.5208045461292565,10.40373132250966
1844,Li5SbO5,Li5SbO5_Va_O3,3.0783000000000005,-2.198206253787879,1.2755332551970529,1.7738628893716877,1.525852525081684,2,119,-0.5208045461292565,9.391610026870994
1845,Li8SnO6,Li8SnO6_Va_O1,4.0517,-2.1430056621111113,1.1728702208159925,1.3628324117250872,2.6379995227395816,2,404,-1.538575818365933,9.6924416091794
1846,LiAlO2,LiAlO2_Va_O1,4.6288,-3.082882981458333,1.4296001480574805,1.921063569350896,3.6133429573996856,2,255,-2.8945619964631555,8.145905328664941
1847,LiAsO3,LiAsO3_Va_O1,3.650700000000001,-1.986835451666666,2.233158903361803,2.5089847451795455,-0.8781958849960193,2,269,-0.6589084382122885,8.06758318991015
1848,LiBO2,LiBO2_Va_O1,5.501,-2.7379905412500003,2.017867839658265,3.950952674776848,1.3153154053380676,2,143,-2.1905056483979153,12.129912311976986
1849,LiBO2,LiBO2_Va_O2,5.501,-2.7379905412500003,1.380511775489672,2.1398734688602414,2.7721472049176428,2,191,-2.1905056483979153,9.66441170747533
1850,LiGaO2,LiGaO2_Va_O1,3.2567000000000004,-2.3788747770833334,1.5743574027522462,2.0062090249688924,1.8027162624249424,2,215,-1.8812876656363955,7.871517468246127
1851,LiGaO2,LiGaO2_Va_O2,3.2567000000000004,-2.3788747770833334,1.5232149763392335,2.0266717357714397,1.98229145822036,2,287,-1.8812876656363955,7.970529542101374
1852,LiGeBO4,LiGeBO4_Va_O1,4.3668,-2.4948268210714293,2.1423009090226213,2.7284502198952163,0.2278817313932823,2,251,-1.502819088333178,9.90020313020014
